Font,Color Combination,Lens,Distance to Screen,Screen Brightness,Horizontal Angle,Vertical Angle,Exposure Time,Size,Lighting,Unprocessed Accuracy,Processed Accuracy
2,1,daheng_6mm,50,100,0,0,100,Big,light,1.0,1.0
2,1,daheng_6mm,50,100,0,0,100,Medium,light,1.0,1.0
2,1,daheng_6mm,50,100,0,0,100,Small,light,1.0,1.0
2,2,daheng_6mm,50,100,0,0,100,Big,light,0.0,1.0
2,2,daheng_6mm,50,100,0,0,100,Medium,light,0.0,1.0
2,2,daheng_6mm,50,100,0,0,100,Small,light,0.0,1.0
2,3,daheng_6mm,50,100,0,0,100,Big,light,1.0,1.0
2,3,daheng_6mm,50,100,0,0,100,Medium,light,1.0,1.0
2,3,daheng_6mm,50,100,0,0,100,Small,light,1.0,1.0
4,0,daheng_6mm,50,100,0,0,100,Big,light,0.8333333333333334,0.9
4,0,daheng_6mm,50,100,0,0,100,Medium,light,0.5333333333333333,0.9
4,0,daheng_6mm,50,100,0,0,100,Small,light,0.1,0.3
4,1,daheng_6mm,50,100,0,0,100,Big,light,0.03333333333333333,0.4
4,1,daheng_6mm,50,100,0,0,100,Medium,light,0.26666666666666666,0.7
4,1,daheng_6mm,50,100,0,0,100,Small,light,0.06666666666666667,0.0
4,2,daheng_6mm,50,100,0,0,100,Big,light,0.0,0.9666666666666667
4,2,daheng_6mm,50,100,0,0,100,Medium,light,0.0,1.0
4,2,daheng_6mm,50,100,0,0,100,Small,light,0.1,0.0
4,3,daheng_6mm,50,100,0,0,100,Big,light,0.0,0.9
4,3,daheng_6mm,50,100,0,0,100,Medium,light,0.3333333333333333,1.0
4,3,daheng_6mm,50,100,0,0,100,Small,light,0.6333333333333333,0.23333333333333334
0,0,daheng_6mm,50,100,0,60,100,Big,light,1.0,0.6666666666666666
0,0,daheng_6mm,50,100,0,60,100,Medium,light,1.0,0.5666666666666667
0,0,daheng_6mm,50,100,0,60,100,Small,light,0.1,0.06666666666666667
0,1,daheng_6mm,50,100,0,60,100,Big,light,1.0,1.0
0,1,daheng_6mm,50,100,0,60,100,Medium,light,1.0,1.0
0,1,daheng_6mm,50,100,0,60,100,Small,light,0.0,0.0
0,2,daheng_6mm,50,100,0,60,100,Big,light,0.0,1.0
0,2,daheng_6mm,50,100,0,60,100,Medium,light,0.0,0.0
0,2,daheng_6mm,50,100,0,60,100,Small,light,0.0,0.0
0,3,daheng_6mm,50,100,0,60,100,Big,light,1.0,1.0
0,3,daheng_6mm,50,100,0,60,100,Medium,light,1.0,1.0
0,3,daheng_6mm,50,100,0,60,100,Small,light,0.0,0.0
1,0,daheng_6mm,50,100,0,60,100,Big,light,1.0,1.0
1,0,daheng_6mm,50,100,0,60,100,Medium,light,1.0,0.9333333333333333
1,0,daheng_6mm,50,100,0,60,100,Small,light,0.0,0.0
1,1,daheng_6mm,50,100,0,60,100,Big,light,1.0,1.0
1,1,daheng_6mm,50,100,0,60,100,Medium,light,1.0,1.0
1,1,daheng_6mm,50,100,0,60,100,Small,light,0.0,0.0
1,2,daheng_6mm,50,100,0,60,100,Big,light,0.0,1.0
1,2,daheng_6mm,50,100,0,60,100,Medium,light,0.0,0.7
1,2,daheng_6mm,50,100,0,60,100,Small,light,0.0,0.0
1,3,daheng_6mm,50,100,0,60,100,Big,light,1.0,1.0
1,3,daheng_6mm,50,100,0,60,100,Medium,light,1.0,1.0
1,3,daheng_6mm,50,100,0,60,100,Small,light,0.0,0.0
2,0,daheng_6mm,50,100,0,60,100,Big,light,0.5333333333333333,0.9
2,0,daheng_6mm,50,100,0,60,100,Medium,light,0.8333333333333334,0.5
2,0,daheng_6mm,50,100,0,60,100,Small,light,0.5,0.1
2,1,daheng_6mm,50,100,0,60,100,Big,light,1.0,1.0
2,1,daheng_6mm,50,100,0,60,100,Medium,light,1.0,1.0
2,1,daheng_6mm,50,100,0,60,100,Small,light,0.9666666666666667,0.0
2,2,daheng_6mm,50,100,0,60,100,Big,light,0.0,1.0
2,2,daheng_6mm,50,100,0,60,100,Medium,light,0.0,1.0
2,2,daheng_6mm,50,100,0,60,100,Small,light,0.0,0.0
2,3,daheng_6mm,50,100,0,60,100,Big,light,1.0,1.0
2,3,daheng_6mm,50,100,0,60,100,Medium,light,1.0,1.0
2,3,daheng_6mm,50,100,0,60,100,Small,light,0.16666666666666666,0.16666666666666666
4,0,daheng_6mm,50,100,0,60,100,Big,light,0.0,0.9666666666666667
4,0,daheng_6mm,50,100,0,60,100,Medium,light,0.0,0.0
4,0,daheng_6mm,50,100,0,60,100,Small,light,0.0,0.0
4,1,daheng_6mm,50,100,0,60,100,Big,light,0.03333333333333333,0.5
4,1,daheng_6mm,50,100,0,60,100,Medium,light,0.0,0.7
4,1,daheng_6mm,50,100,0,60,100,Small,light,0.0,0.03333333333333333
4,2,daheng_6mm,50,100,0,60,100,Big,light,0.0,0.36666666666666664
4,2,daheng_6mm,50,100,0,60,100,Medium,light,0.0,1.0
4,2,daheng_6mm,50,100,0,60,100,Small,light,0.0,0.0
4,3,daheng_6mm,50,100,0,60,100,Big,light,0.0,0.8666666666666667
4,3,daheng_6mm,50,100,0,60,100,Medium,light,0.0,0.9
4,3,daheng_6mm,50,100,0,60,100,Small,light,0.0,0.9
0,0,daheng_6mm,50,100,60,0,100,Big,light,1.0,1.0
0,0,daheng_6mm,50,100,60,0,100,Medium,light,1.0,0.9
0,0,daheng_6mm,50,100,60,0,100,Small,light,0.9,0.0
0,1,daheng_6mm,50,100,60,0,100,Big,light,1.0,1.0
