Font,Color Combination,Lens,Distance to Screen,Screen Brightness,Horizontal Angle,Vertical Angle,Exposure Time,Gain,Size,Unprocessed Accuracy,Processed Accuracy
1,2,daheng_12mm,100,50,45,45,250,5,Big,0.0,0.1
1,2,daheng_12mm,100,50,45,45,250,5,Medium,0.0,0.0
1,2,daheng_12mm,100,50,45,45,250,5,Small,0.0,0.0
1,3,daheng_12mm,100,50,45,45,250,5,Big,0.0,0.7333333333333333
1,3,daheng_12mm,100,50,45,45,250,5,Medium,0.0,0.0
1,3,daheng_12mm,100,50,45,45,250,5,Small,0.0,0.0
2,0,daheng_12mm,100,50,45,45,250,5,Big,0.0,0.0
2,0,daheng_12mm,100,50,45,45,250,5,Medium,0.0,0.0
2,0,daheng_12mm,100,50,45,45,250,5,Small,0.0,0.0
2,1,daheng_12mm,100,50,45,45,250,5,Big,0.06666666666666667,0.06666666666666667
2,1,daheng_12mm,100,50,45,45,250,5,Medium,0.0,0.0
2,1,daheng_12mm,100,50,45,45,250,5,Small,0.0,0.0
2,2,daheng_12mm,100,50,45,45,250,5,Big,0.0,0.0
2,2,daheng_12mm,100,50,45,45,250,5,Medium,0.0,0.0
2,2,daheng_12mm,100,50,45,45,250,5,Small,0.0,0.0
2,3,daheng_12mm,100,50,45,45,250,5,Big,0.0,0.0
2,3,daheng_12mm,100,50,45,45,250,5,Medium,0.0,0.0
2,3,daheng_12mm,100,50,45,45,250,5,Small,0.0,0.0
0,0,daheng_12mm,100,50,45,45,250,10,Big,0.0,0.0
0,0,daheng_12mm,100,50,45,45,250,10,Medium,0.0,0.0
0,0,daheng_12mm,100,50,45,45,250,10,Small,0.0,0.0
0,1,daheng_12mm,100,50,45,45,250,10,Big,0.06666666666666667,0.06666666666666667
0,1,daheng_12mm,100,50,45,45,250,10,Medium,0.0,0.0
0,1,daheng_12mm,100,50,45,45,250,10,Small,0.0,0.0
0,2,daheng_12mm,100,50,45,45,250,10,Big,0.0,0.06666666666666667
0,2,daheng_12mm,100,50,45,45,250,10,Medium,0.0,0.0
0,2,daheng_12mm,100,50,45,45,250,10,Small,0.0,0.0
0,3,daheng_12mm,100,50,45,45,250,10,Big,0.0,0.8666666666666667
0,3,daheng_12mm,100,50,45,45,250,10,Medium,0.0,0.3333333333333333
0,3,daheng_12mm,100,50,45,45,250,10,Small,0.0,0.0
1,0,daheng_12mm,100,50,45,45,250,10,Big,0.9333333333333333,0.5
1,0,daheng_12mm,100,50,45,45,250,10,Medium,0.7,0.0
1,0,daheng_12mm,100,50,45,45,250,10,Small,0.0,0.0
1,1,daheng_12mm,100,50,45,45,250,10,Big,0.3333333333333333,0.4666666666666667
